Fecha,Exportaciones,Importaciones
2006/06,21309.067,21634.773
2006/07,19825.802,20188.733
2006/08,22822.775,23601.996
2006/09,20491.331,21971.992
2006/10,23185.78,24503.313
2006/11,20854.24,22466.444
2006/12,20113.108,21274.928
2007/01,18999.356,20676.876
2007/02,19608.83,20007.377
2007/03,21660.852,22038.495
2007/04,21076.64,21835.96
2007/05,23813.951,24535.855
2007/06,22765.18,23591.904
2007/07,22634.792,23329.641
2007/08,24493.338,25554.885
2007/09,23141.274,23779.308
2007/10,26088.928,27649.79
2007/11,24331.827,25152.819
2007/12,23260.344,23796.139
2008/01,22232.992,23996.538
2008/02,22855.904,23978.831
2008/03,24995.231,23756.589
2008/04,27029.673,28117.897
2008/05,26001.708,26014.122
2008/06,26371.487,26135.875
2008/07,27548.121,28762.742
2008/08,25833.029,28110.512
2008/09,25085.653,28020.923
2008/10,24429.426,27721.734
2008/11,20275.591,23234.846
2008/12,18683.78,20752.642
2009/01,15081.962,16789.104
2009/02,16064.787,16613.305
2009/03,18518.101,18554.454
2009/04,17372.169,17203.626
2009/05,17238.291,16788.594
2009/06,19401.741,19569.999
2009/07,18016.248,19254.846
2009/08,19565.549,20234.102
2009/09,20939.086,21818.126
2009/10,22117.619,21880.85
2009/11,22364.014,22493.453
2009/12,23023.983,23184.513
2010/01,19189.889,19634.064
2010/02,21302.6,20879.793
2010/03,26104.127,25710.897
2010/04,24844.517,24764.007
2010/05,24796.461,24623.978
2010/06,25000.453,25336.866
2010/07,23334.155,24364.456
2010/08,26917.226,27615.053
2010/09,25338.436,25861.45
2010/10,26530.071,27317.792
2010/11,28169.737,28254.429
2010/12,26945.474,27119.034
2011/01,24674.597,24532.143
2011/02,25771.475,25461.39
2011/03,31355.125,29899.15
2011/04,27808.164,27200.981
2011/05,31079.659,30541.743
2011/06,30394.79,30300.785
2011/07,27848.617,29030.739
2011/08,31463.992,32292.579
2011/09,28774.476,30644.8
2011/10,30023.464,30554.512
2011/11,31051.747,31248.71
2011/12,29187.28,29135.344
2012/01,27281.577,27548.995
2012/02,30015.345,29517.163
2012/03,32312.046,30839.53
2012/04,30900.421,30481.741
2012/05,33135.477,32801.858
2012/06,30272.703,29657.623
2012/07,30294.406,30704.05
2012/08,31660.136,32641.949
2012/09,29279.642,29069.597
2012/10,33939.839,35564.836
2012/11,31468.922,32716.357
2012/12,30209.376,29207.86
2013/01,27298.537,30152.955
2013/02,29091.473,29066.034
2013/03,31838.072,30127.821
2013/04,32729.138,34087.541
2013/05,32845.282,33305.574
2013/06,31088.267,30168.158
2013/07,32252.174,33651.211
2013/08,32677.304,32902.205
2013/09,31377.763,30726.402
2013/10,35082.425,35217.067
2013/11,31673.409,31363.977
2013/12,32061.207,30441.223
2014/01,27052.385,30233.531
2014/02,30461.527,29543.472
2014/03,33245.192,32287.36
2014/04,34059.95,33561.872
2014/05,34373.788,34251.128
2014/06,33436.311,33050.55
2014/07,33687.101,34690.783
2014/08,33286.822,34483.635
2014/09,34147.311,33667.444
2014/10,36879.601,36945.105
2014/11,32192.734,33407.006
2014/12,34090.91,33862.45
2015/01,26553.377,29817.479
2015/02,29731.307,29125.93
2015/03,34177.473,33666.222
2015/04,32971.49,33041.33
2015/05,31244.705,32359.172
2015/06,33761.831,34590.363
2015/07,32694.944,35073.02
2015/08,31009.789,33831.912
2015/09,32187.182,33663.061
2015/10,34100.594,35600.923
2015/11,30981.322,32595.256
2015/12,31142.075,31889.184
2016/01,24687.865,27979.044
2016/02,28967,29751.151
2016/03,31493.61,31408.485
2016/04,30387.276,32497.219
2016/05,31410.821,31854.21
2016/06,31949.905,32467.942
2016/07,29773.01,31599.262
2016/08,32446.304,34332.06
2016/09,32701.172,34229.627
2016/10,32596.379,33495.421
2016/11,34344.613,34267.067
2016/12,33195.659,33206.048
2017/01,27316.175,30788.434
2017/02,31345.973,30586.757
2017/03,36048.426,36110.316
2017/04,31768.954,30869.68
2017/05,35342.342,36546.951
2017/06,35547.887,35548.917
2017/07,32155.156,33687.183
2017/08,35926.907,38513.13
2017/09,33771.318,35706.801
2017/10,36715.63,38969.493
2017/11,37507.573,37082.913
2017/12,35986.234,35984.012
2018/01,30718.527,35140.478
2018/02,35093.793,34149.86
2018/03,39484.266,37734.615
2018/04,37181.694,37471.965
2018/05,39213.912,40766.241
2018/06,37483.508,38383.337
2018/07,36742.212,39612.118
2018/08,39545.208,42129.496
2018/09,37700.602,38001.683
2018/10,41356.07,44290.891
2018/11,38595.389,40928.716
2018/12,37597.547,35692.967
2019/01,32637.22,37262.788
2019/02,36437.807,35073.897
2019/03,39018.828,37530.886
2019/04,39586.47,38076.401
2019/05,41749.996,40792.86
2019/06,37924.986,35382.744
2019/07,39115.793,40406.335
2019/08,40051.141,39648.433
2019/09,37180.583,37332.184
2019/10,40762.123,41449.532
2019/11,37484.491,36697.66
2019/12,38654.441,35587.869
2020/01,33580.843,36062
2020/02,36433.717,33715.379
2020/03,38310.269,34995.932
2020/04,23222.658,26457.052
2020/05,18116.042,21578.337
2020/06,33047.725,27512.168
2020/07,35499.49,29844.448
2020/08,37001.121,30845.723
2020/09,38539.74,34142.602
2020/10,41950.815,35694.81
2020/11,38313.68,35257.525
2020/12,43154.635,36879.948
2021/01,32716.018,33910.702
2021/02,36213.207,33486.199
2021/03,43029.98,45974.454
2021/04,40944.531,39259.65
2021/05,40845.6,40458.684
2021/06,42619.373,41909.429
2021/07,40952.956,44950.628
2021/08,40471.381,44215.64
2021/09,41754.65,44078.456
2021/10,41859.338,44658.126
2021/11,45651.796,45698.67
2021/12,47705.675,47102.458
2022/01,33907.246,40185.365
2022/02,46239.262,44953.077
2022/03,51906.144,51801.683
2022/04,47479.465,49363.532
2022/05,50005.133,52220.452
2022/06,51234.083,55191.302
2022/07,46504.496,52463.962
